Metric,Step,Value,Wall_time
Loss/Total,2050,2.924941301345825,1766245781.3440974
Loss/Total,2100,3.1893246173858643,1766245897.0425398
Loss/Total,2150,2.9562764167785645,1766246007.9667382
Loss/Total,2200,3.0371603965759277,1766246121.3765798
Loss/Total,2250,3.0793914794921875,1766246235.0655353
Loss/Total,2300,2.8480963706970215,1766246350.9252317
Loss/Total,2350,2.7642791271209717,1766246462.062307
Loss/Total,2400,2.898937225341797,1766246577.385168
Loss/Total,2450,3.1981430053710938,1766246688.3862936
Loss/Total,2500,2.8514060974121094,1766246802.0406163
Loss/Total,2550,2.837146520614624,1766246915.7695239
Loss/Total,2600,2.945913791656494,1766247027.582527
Loss/Total,2650,2.967907667160034,1766247141.119568
Loss/Total,2700,2.813281297683716,1766247253.9087348
Loss/Total,2750,2.899263858795166,1766247365.9632087
Loss/Total,2800,2.951026678085327,1766247481.0063758
Loss/Total,2850,2.739961862564087,1766247596.6605494
Loss/Total,2900,2.7275240421295166,1766247707.946738
Loss/Total,2950,2.93501615524292,1766247820.8205402
Loss/Total,3000,2.798250913619995,1766247933.9538753
Loss/Total,3050,2.714271306991577,1766248046.0265374
Loss/Total,3100,2.8812952041625977,1766248157.4837928
Loss/Total,3150,2.663344621658325,1766248272.0480049
Loss/Total,3200,2.603952169418335,1766248380.2572143
Loss/Total,3250,2.9825823307037354,1766248487.1561432
Loss/Total,3300,2.6928281784057617,1766248597.2869174
Loss/Total,3350,2.875401258468628,1766248709.8023212
Loss/Total,3400,2.5631155967712402,1766248826.7278752
Loss/Total,3450,2.7324414253234863,1766248938.074457
Loss/Total,3500,2.6849048137664795,1766249051.7251728
Loss/Total,3550,2.645329475402832,1766249162.532365
Loss/Total,3600,2.688253402709961,1766249275.050183
Loss/Total,3650,2.6587464809417725,1766249390.2676117
Loss/Total,3700,2.659597396850586,1766249504.0260453
Loss/Total,3750,2.4955902099609375,1766249618.0615828
Loss/Total,3800,2.6660706996917725,1766249731.6794796
Loss/Total,3850,2.5992329120635986,1766249847.1322336
Loss/Total,3900,2.5173916816711426,1766249959.8850796
Loss/Total,3950,2.5765786170959473,1766250073.7374957
Loss/Total,4000,2.6936583518981934,1766250185.7983112
Loss/Total,4050,2.665045738220215,1766250299.609769
Loss/Total,4100,2.7746846675872803,1766250415.61872
Loss/Total,4150,2.482069253921509,1766250526.4078765
Loss/Total,4200,2.56626033782959,1766250640.908392
Loss/Total,4250,2.50388240814209,1766250751.950126
Loss/Total,4300,2.2861173152923584,1766250865.033614
Loss/Total,4350,2.4185945987701416,1766250978.5928488
Loss/Total,4400,2.7574572563171387,1766251093.1713145
Loss/Total,4450,2.3916068077087402,1766251206.2791536
Loss/Total,4500,2.533656358718872,1766251319.691437
Loss/Total,4550,2.5510504245758057,1766251431.8318453
Loss/Total,4600,2.70753812789917,1766251547.5790596
Loss/Total,4650,2.699136734008789,1766251663.817371
Loss/Total,4700,2.325465202331543,1766251776.9858334
Loss/Total,4750,2.4471068382263184,1766251892.4565496
Loss/Total,4800,2.4222240447998047,1766252006.9909747
Loss/Total,4850,2.505110025405884,1766252122.0913093
Loss/Total,4900,2.4815149307250977,1766252232.6558654
Loss/Total,4950,2.2829017639160156,1766252346.1699789
Loss/Total,5000,2.5309367179870605,1766252459.1342988
Loss/Total,5050,2.4382011890411377,1766252572.719954
Loss/Total,5100,2.244935989379883,1766252685.0597343
Loss/Total,5150,2.250452995300293,1766252802.0903199
Loss/Total,5200,2.353705883026123,1766252911.458154
Loss/Total,5250,2.5937609672546387,1766253025.8802774
Loss/Total,5300,2.3161489963531494,1766253135.6346729
Loss/Total,5350,2.3960936069488525,1766253250.490268
Loss/Total,5400,2.224769115447998,1766253365.2719328
Loss/Total,5450,2.482513904571533,1766253480.318746
Loss/Total,5500,2.5640437602996826,1766253597.0919678
Loss/Total,5550,2.2876713275909424,1766253707.7596285
Loss/Total,5600,2.6799330711364746,1766253821.8453574
Loss/Total,5650,2.5478811264038086,1766253935.6420255
Loss/Total,5700,2.408799648284912,1766254045.3940866
Loss/Total,5750,2.298480272293091,1766254158.1097827
Loss/Total,5800,2.3322055339813232,1766254268.8986204
